pc4,stedelijkheid,third_places_total_ranked,third_places_non_medical_total_ranked,third_places_medical_ranked,third_places_food_beverage_ranked,third_places_retail_ranked,third_places_community_ranked,third_places_cultural_ranked,third_places_sport_leisure_ranked,third_places_non_medical_non_retail_total_ranked,third_places_total_ranked_by_urbanisation,third_places_non_medical_total_ranked_by_urbanisation,third_places_medical_ranked_by_urbanisation,third_places_food_beverage_ranked_by_urbanisation,third_places_retail_ranked_by_urbanisation,third_places_community_ranked_by_urbanisation,third_places_cultural_ranked_by_urbanisation,third_places_sport_leisure_ranked_by_urbanisation,third_places_non_medical_non_retail_total_ranked_by_urbanisation
4485,5,21.642344793470194,18.049202620843122,28.422619047619047,9.482310093652444,23.25172630257376,8.424861093164491,27.12876427829699,12.759569677257943,14.066179204362376,41.76604922608475,34.8212021303576,54.31122448979592,18.037357122943966,44.92412349555207,16.36715510091236,50.64066852367688,24.922118380062305,27.344546381243628
4486,5,44.47192678703933,48.3372481147237,39.285714285714285,60.91311134235172,41.15505335844319,57.00994960589223,47.2871235721703,53.952964723542664,54.058743338703685,80.63943161634103,84.27593203144814,72.88265306122449,90.24254251463618,75.11773940345368,84.43461432126071,81.03064066852367,88.99273104880582,88.81243628950051
4491,5,29.37175364828098,28.619112374830014,31.572420634920633,34.65140478668054,29.99372253609542,21.566093810569843,10.033748701973002,29.034275706780083,27.12851654480109,55.97564070032986,54.12122749175754,60.05102040816327,61.750766657373845,57.14285714285714,40.03317666574509,19.554317548746518,54.179646936656276,50.63710499490316
4493,5,59.287657679940644,67.42489800964272,49.057539682539684,80.73621227887617,62.209667294413066,60.731360640909685,70.83333333333334,69.40205153865399,71.86764159127526,95.0012687135245,97.28633020542733,87.16836734693878,98.5781990521327,94.76713762428048,87.39286701686481,98.05013927576601,97.22222222222221,97.96126401630988
4494,5,19.292604501607716,19.990110025961183,19.02281746031746,34.65140478668054,17.991211550533585,21.566093810569843,27.12876427829699,12.759569677257943,21.415293097038045,37.35092616087287,38.34643672330713,36.81122448979592,61.750766657373845,34.903192046049185,40.03317666574509,50.64066852367688,24.922118380062305,40.80020387359837
4501,4,77.12094978976008,82.80380764000495,68.56398809523809,85.04162330905307,85.51161330822347,88.24137485463238,64.69366562824507,75.28146109582187,79.41504523484943,74.06716417910447,79.01119402985076,63.958916900093364,88.0,82.6492537313433,77.0754716981132,54.59715639810426,64.95327102803739,74.6268656716418
4503,5,37.991590403165965,39.671158363209294,36.84275793650794,66.35015608740895,36.94915254237288,27.510014213722705,47.2871235721703,29.034275706780083,42.322468707398684,70.94646028926668,72.43215825513568,69.13265306122449,94.08976860886534,68.83830455259027,49.40558473873376,81.03064066852367,54.179646936656276,75.30581039755351
4504,5,27.009646302250808,34.12041043392261,8.618551587301587,69.52393340270552,27.29441305712492,21.566093810569843,19.132917964693664,27.107830873154864,38.6912876440699,51.839634610504945,63.70783667258433,17.066326530612244,95.76247560635629,52.38095238095239,40.03317666574509,36.57381615598886,50.77881619937694,69.90316004077471
4505,5,20.220133564185012,24.3046112003956,13.901289682539684,38.943808532778355,23.25172630257376,21.566093810569843,33.57995846313603,15.32399299474606,24.922543066055272,39.07637655417407,46.1577479076845,27.39795918367347,67.82826874825759,44.92412349555207,40.03317666574509,61.532033426183844,29.646936656282453,46.91641182466871
4506,5,43.111550828592634,52.87427370503153,17.683531746031747,85.53590010405827,44.68298807281858,27.510014213722705,33.57995846313603,51.413560170127596,59.37538728466972,78.60948997716316,88.38447882323103,34.38775510204082,99.27516030108727,80.06279434850863,49.40558473873376,61.532033426183844,86.8380062305296,92.7624872579001
4507,5,31.57308929013109,32.970700951910004,29.724702380952383,38.943808532778355,35.99497802887633,41.62036438816384,19.132917964693664,23.042281711283465,30.16482835543438,60.03552397868561,61.85645447628709,56.76020408163265,67.82826874825759,67.24228152799581,68.59275642797898,36.57381615598886,43.613707165109034,55.98878695208971
4508,5,18.73608706406134,15.725058721720856,25.34722222222222,9.482310093652444,21.60703075957313,15.221604858508853,19.132917964693664,6.817613209907431,11.054653612591398,36.28520680030449,30.535125538929748,48.62244897959184,18.037357122943966,41.784406070120355,29.029582526956045,36.57381615598886,13.57736240913811,21.661569826707442
4511,4,65.14964135542914,76.05390035851156,48.67311507936508,94.289802289282,75.78154425612053,57.00994960589223,53.81619937694704,57.88091068301225,76.55223695625233,51.21268656716418,67.44402985074626,24.743230625583568,99.04761904761905,64.55223880597015,33.58490566037736,37.156398104265406,37.47663551401869,68.19029850746269
